,x,y,z,point_type
0,0.0,0.0,0.0,camera
1,7.005456866967513,1.361722871452099,-3.0292967291577546,reading
2,6.8556090461527655,8.170196710173922,-13.651133438134407,reading
3,0.7996668583389479,5.689925351819056,-12.905375811214423,reading
4,-11.29143362226469,0.0,3.88795238977308,reading
5,-3.8154332065215084,7.175786208266216,7.317656195220963,reading
6,-6.104966145883985,0.7495955875494629,-0.7552249195766824,reading
7,5.183087159118653,0.7284353956777816,14.38036364319045,reading
8,-5.174052734696654,0.819489446594566,1.8037767137146408,reading
9,0.8195644245018536,1.6803560879778752,-5.753936944571539,reading
10,5.458066069104838,3.681512049099879,0.8083665540135523,reading
11,0.5377826405713475,1.561834194572535,-4.797257266075958,reading
12,3.736188285366097,4.958089316693916,-16.172915050984425,reading
13,-5.717045246390393,4.1536765060335075,-2.160493724188516,reading
14,8.695546068437988,3.691040319242366,4.2058513103651824,reading
15,-0.024822059173009597,0.7108107734818192,5.7926178902799705,reading
16,-4.246001108284751,5.060187074957349,-12.423336318096135,reading
17,0.9707744455861127,3.3854928232486614,4.507860063785268,reading
18,12.27677473060519,4.227232541884157,-13.445502518088142,reading
19,5.687686424173268,17.50489887229326,9.378192897520439,reading
20,4.947892660936313,5.30596527014887,3.3830583394835148,reading
21,-12.31470613916901,5.227282625099057,0.9354954915267665,reading
22,-1.1118678787947762,0.6163184292355347,-14.530552998800774,reading
23,-8.520007678452014,1.3494366477123738,-12.78888320974879,reading
24,4.813107440965287,0.7623213282591487,-5.0462463246729214,reading
25,9.010144805329247,6.7896311100685045,-10.158289633211043,reading
26,2.201705011081843,2.4452411392696414,4.211515478011832,reading
27,-8.601566326139006,3.301831957576476,12.681328831466093,reading
28,-3.733835092894467,2.8136465566665683,0.6570660758189864,reading
29,-0.24352744280721988,2.3170088454727367,22.16629588765545,reading
30,-2.1809731155107093,0.1908104230620026,-11.262993089218961,reading
31,-21.407531673796946,3.0086323703533058,-4.202097145186349,reading
32,-0.0,0.0,-4.778210463825113,reading
33,-3.19104179732903,8.767315282697401,3.9603424151209925,reading
34,2.82934869563431,2.210529468274616,-3.9876487164734464,reading
35,4.3947366656663736,0.6176399592899562,-10.98425293995425,reading
36,0.7199717004171285,3.703933302765912,-3.0555246423236384,reading
37,2.101907664092895,5.7749438448738415,6.36392079657247,reading
38,-5.447060032183505,3.814072495615714,7.649527113979232,reading
39,1.5648203011047028,2.9429989537988295,6.268748071416261,reading
